"statement","true_label","prompt","model_output"
"statement","label","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.tsv  ``` | speaker | statement | party | label | |---------|-----------|--------|--------| | speaker1 | ""Ronald Reagan did amnesty."" | R | true | | speaker2 | ""83% of doctors have considered leaving the profession because of #Obamacare."" | D | false | | speaker3 | ""statement"" | R | false | | speaker4 | ""83% of doctors have considered leaving the profession because of #Obamacare."" | D | false | | speaker5 | ""statement"" | R | false | | speaker6 | ""83% of doctors have considered leaving the profession because of #Obamacare."" | D | false | | speaker7 | ""statement"" | R | false | | speaker8 | ""83% of doctors have considered leaving the profession because of #Obamac"
"We have less Americans working now than in the 70s.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. ""We have less Americans working now than in the 70s.""  Statement: ""The US has more than 100,000 unfilled jobs."" Label: true  Statement: ""The US has more than 100,000 unfilled jobs."" Label: false  Evaluate the truthfulness of the following statement: ""The US has more than 100,000 unfilled jobs.""  The following speaker made the above statement: john-mccain. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. ""The US has more than 100,000"
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. Fact-checking is a critical component of journalism, and it is essential to ensure that the public is informed about the truthfulness of political claims."
"Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. as per the given material, the claim is 0. false."
"Says nearly half of Oregons children are poor.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. ""Says nearly half of Oregons children are poor.""  The speaker is not affiliated with any political party. The claim is not true.  Statement: ""The average American household has $1,000 in savings."" Label: true  Statement: ""The average American household has $1,000 in savings."" Label: false  Evaluate the truthfulness of the following statement: ""The average American household has $1,000 in savings.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. ""The average"
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. statements: ""Ronald Reagan did amnesty.""  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire"
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. Claim: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  Evaluate the truthfulness of the following statement: ""Says 100% of doctors have considered leaving the profession because of #Obamacare.""  The following speaker made the above statement: john-smith. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. Claim: ""Says 100% of doctors have considered leaving the profession because of #Obamacare.""  Evaluate the truthfulness of"
"Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. Claim: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The speaker's statement is false. The claim is not supported by evidence. The speaker belongs to the party: democrat.  Statement: ""The US economy is growing at a 3.5% rate."" Label: true  Statement: ""The US economy is growing at a 3.5% rate."" Label: false  Evaluate the truthfulness of the following statement: ""The US economy is growing at a 3.5% rate.""  The following speaker made the above statement: john-smith. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true"
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.   Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.   Statement: ""The health care reform plan would set limits"
"Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Ronald Reagan did amnesty."" Label: true  Statement: ""83% of doctors have considered leaving the profession because of #Obamacare."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""R"
