"statement","true_label","prompt","model_output"
"statement","label","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. According to the given material, the statement is false."
"We have less Americans working now than in the 70s.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire. According to the given material, the speaker's statement is classified as a false claim."
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant  Statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perry's watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none"
"Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant  Statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking"
"Says nearly half of Oregons children are poor.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant"
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant.com/2011/02/09/statement-says-president-barack-obamas-own-economists-say-the-stimulus-cost-278k-per-job-created/  The statement ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, 'If you add all that stuff up, it accounts for less than 1 percent of the overall package.'"" is false. The statement is based on a claim made by the speaker, who belongs to the party of the speaker. The claim is not supported by evidence."
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant  Statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perry's watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment?"
"Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.to answer this question, please provide a brief explanation of the speaker's claim and classify it as either false, half-true, mostly-true, true, barely-true, or pants-fire."
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.fact-checking-assistant  Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is"
"Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Under Gov. Bob McDonnell, more jobs have been lost than created in Southside and Southwest Virginia."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perrys watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans."" Label: false  Statement: ""Says Hillary Clinton was born in 1947, not 1949."" Label: false  Statement: ""Says President Barack Obamas own economists say the stimulus cost $278K per job created."" Label: false  Statement: ""Says Texas unemployment rate has doubled on Rick Perry's watch."" Label: half-true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one"
