"statement","true_label","prompt","model_output"
"We have less Americans working now than in the 70s.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. While the exact number of Americans working in the 70s is not explicitly stated, the statement is accurate in that there has been a significant decline in the number of working-age Americans in recent decades."
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. While it is not explicitly stated that Obama used the Kuran, there is no evidence to contradict the claim. The statement is also supported by the fact that Obama was raised in a religious household and was taught about the Bible."
"Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. The argument is based on the premise that the statute a hundred years ago prohibited organizations from engaging in political combat. The fact that organizations are now parading as social welfare organizations and involved in political combat suggests that the statute may still apply."
"Says nearly half of Oregons children are poor.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true, as it is not an exaggeration to suggest that a significant number of Oregons children are poor. The claim is also supported by data and research on the issue."
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. While it is not an exact mathematical statement, it is close. The claim is that if all of the various programs in the economic stimulus plan were stimulative, then the overall package would account for less than 1 percent of the overall package. This is a reasonable claim to make, as the economic stimulus plan is a large and complex piece of legislation."
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 3. mostly-true  **Explanation:** The statement is mostly true. While it is not an exact statistic, it is clear that armed civilian self-defense can be very effective in stopping mass shootings. The claim provides a range of deaths, with an average of 2.5 and 18, suggesting that the effectiveness of armed self-defense can vary depending on the circumstances."
"Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. While Tennessee does provide funding to virtual schools, the amount is not as significant as the speaker suggests."
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 2. Mostly-True  **Explanation:** The statement is mostly true. The claim is that the health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000. This is a factual claim, and the evidence supports it."
"Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 3. Mostly-True  **Explanation:** The statement is mostly true. While Donald Trump was sued by the Justice Department for racial discrimination in 1973, there is evidence to suggest that he may have faced discrimination in his early career."
"Bill White has a long history of trying to limit or even disenfranchise military voters.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Bill White has a long history of trying to limit or even disenfranchise military voters.""  The following speaker made the above statement: republican-party-texas. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says a rape kit can be used to clean out women, basically like dilation and curettage."" Label: pants-fire  Statement: ""Republicans have already cut our neighborhood public schools three budgets in a row."" Label: barely-true  Statement: ""I kicked crooked cops and government officials off the public pension rolls."" Label: false  Evaluate the truthfulness of the following statement: ""Bill White has a long history of trying to limit or even disenfranchise military voters.""  The following speaker made the above statement: republican-party-texas. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  **Judgment:** 3. Mostly-True  **Explanation:** The statement is mostly true. While Bill White has been vocal about his concerns regarding military voter suppression, there is evidence to support the claim that he has taken actions to limit military voter turnout. For example, in 2020, White signed a bill into law that would have prohibited military personnel from donating to political campaigns. Additionally, White has been a vocal critic of the Democratic Party's policies on military spending."
