statement,true_label,prompt,model_output,cleaned_output
statement,label,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify","Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify"
We have less Americans working now than in the 70s.,barely-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The US has more Americans working now than in the 70s."" Label: true  Evaluate the truthfulness of the following statement: ""The US has more Americans working now than in the 70s.""  The following speaker made the above statement: john-mccain. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim","Statement: ""The US has more Americans working now than in the 70s."" Label: true  Evaluate the truthfulness of the following statement: ""The US has more Americans working now than in the 70s.""  The following speaker made the above statement: john-mccain. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim"
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).",pants-fire,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 4.7%."" Label: true  Evaluate the truthfulness of the following statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 4.7%.""  The following speaker made the above statement: chain-email. Additionally, the above speaker","Statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 4.7%."" Label: true  Evaluate the truthfulness of the following statement: ""The US economy is growing at a 3.5% rate, and the unemployment rate is at 4.7%.""  The following speaker made the above statement: chain-email. Additionally, the above speaker"
Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.,false,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohib","Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohib"
Says nearly half of Oregons children are poor.,half-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says nearly half of Oregons children are poor."" Label: true  Evaluate the truthfulness of the following statement: ""Says the average American spends 10 hours a week on work.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one","Statement: ""Says nearly half of Oregons children are poor."" Label: true  Evaluate the truthfulness of the following statement: ""Says the average American spends 10 hours a week on work.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one"
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""",half-true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The stimulus package is not stimulative because it does not add to the overall economy."" Label: false  Evaluate the truthfulness of the following statement: ""The stimulus package is not stimulative because it does not add to the overall economy.""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation","Statement: ""The stimulus package is not stimulative because it does not add to the overall economy."" Label: false  Evaluate the truthfulness of the following statement: ""The stimulus package is not stimulative because it does not add to the overall economy.""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation"
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.",false,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die."" Label: true  Evaluate the truthfulness of the following statement: ""Says the average cost of a new car is $35,000; the average cost of a new house is $250,000.""  The following speaker","Statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die."" Label: true  Evaluate the truthfulness of the following statement: ""Says the average cost of a new car is $35,000; the average cost of a new house is $250,000.""  The following speaker"
Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your","Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your"
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.",false,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000","Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000"
Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,true,"You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus."" Label: true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans."" Label: false  Evaluate the truthfulness of the following statement: ""Says Hillary Clinton has a 99.9% chance of winning the presidency in 2016.""","Statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans."" Label: false  Evaluate the truthfulness of the following statement: ""Says Hillary Clinton has a 99.9% chance of winning the presidency in 2016."""
