"statement","true_label","prompt","model_output"
"statement","label","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","According to the given material, the statement is false."
"We have less Americans working now than in the 70s.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant"
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant  Statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  Evaluate the truthfulness of the following statement: ""The U.S. Has a higher rate of tested lead in people in Cleveland than in Flint.""  The following speaker made the above statement: chain-"
"Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat h"
"Says nearly half of Oregons children are poor.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","based on the passage above, which statement is false according to the text material?"
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant"
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.",""
"Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Prov"
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","fact-checking-assistant  Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,"
"Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We have a higher rate of tested lead in people in Cleveland than in Flint."" Label: mostly-true  Statement: ""Says Rand Paul denied that he put forward a bill ... to zero out foreign aid and specifically spoke about Israel."" Label: half-true  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: true  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","Statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he"
