"statement","true_label","prompt","model_output"
"statement","label","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker belongs to the party: party  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""statement""  The following speaker made the above statement: speaker. Additionally, the above speaker"
"We have less Americans working now than in the 70s.","barely-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker made the above statement: vicky-hartzler. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""We have less Americans working now than in the 70s.""  The following speaker"
"When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).","pants-fire","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""When Obama was sworn into office, he DID NOT use the Holy Bible, but instead the Kuran (Their equivalency to our Bible, but very different beliefs).""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The Obama administration has used the Holy Bible as a reference for policy decisions."" Label: false  Evaluate the truthfulness of the following statement: ""The Obama administration has used the Kuran as a reference for policy decisions.""  The following speaker made the above statement: chain-email. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim"
"Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited.""  The following speaker made the above statement: earl-blumenauer. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited."" Label: false  Evaluate the truthfulness of the following statement: ""Says Having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago"
"Says nearly half of Oregons children are poor.","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says nearly half of Oregons children are poor.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says nearly half of Oregons children are poor."" Label: false  Evaluate the truthfulness of the following statement: ""Says the United States has the highest rate of childhood obesity in the world.""  The following speaker made the above statement: jim-francesconi. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the"
"On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""","half-true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""On attacks by Republicans that various programs in the economic stimulus plan are not stimulative, ""If you add all that stuff up, it accounts for less than 1 percent of the overall package.""""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The Obama administration has been caught lying about the size of the stimulus package."" Label: false  Evaluate the truthfulness of the following statement: ""The Obama administration has been caught lying about the size of the stimulus package.""  The following speaker made the above statement: barack-obama. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Class"
"Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to the party: republican  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says when armed civilians stop mass shootings with guns, an average of 2.5 people die; otherwise, an average of 18 people die."" Label: false  Evaluate the truthfulness of the following statement: ""Says the United States has the highest rate of gun violence in the world.""  The following speaker made the above statement: jim-rubens. Additionally, the above speaker belongs to"
"Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.""  The following speaker made the above statement: andy-berke. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom."" Label: false  Evaluate the truthfulness of the following statement: ""Says (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale.""  The following speaker made the above statement: john-smith. Additionally, the above speaker belongs to the party"
"The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.","false","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000.""  The following speaker made the above statement: club-growth. Additionally, the above speaker belongs to the party: none  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000."" Label: true  Evaluate the truthfulness of the following statement: ""The health care reform plan would set limits similar to the socialized system in Britain, where people are allowed to die if their treatment would cost more than $22,000"
"Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.","true","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.","You are a fact-checking assistant trained to verify political and non-political claims. You carefully analyze a given statement and determine whether it is any of the following options based on reasoning and evidence: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire Your responses are concise, well-justified, and avoid speculation.  Statement: ""We caught (the Texas Commission on Environmental Quality) lying to us about the results of air quality studies in the Barnett Shale."" Label: half-true  Statement: ""Says GM used taxpayer dollars to prop up operations in China."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.""  The following speaker made the above statement: hillary-clinton. Additionally, the above speaker belongs to the party: democrat  What is your judgment? Provide an explanation and Classify the claim as one of the following: 0. false 1. half-true 2. mostly-true 3. true 4. barely-true 5. pants-fire.  Statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans."" Label: false  Evaluate the truthfulness of the following statement: ""Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he"
